Content_ID,Title,Content_Type,Batch,Jurisdiction,Risk_Class,CMS_Record_Found,CMS_Status,CMS_Private,CMS_Indexable,Published_At,Structured_Content_Present,Excerpt_Present,Word_Count,Reading_Time,Editorial_Result,Terminology_Result,Math_Result,Official_Source_Required,Official_Source_Result,Official_Source_Verified_At,FHIP_Methodology_Required,FHIP_Methodology_Result,Calculation_Version_or_Code_Reference,Related_Content_Result,Related_Content_Count,CTA_Result,Author_Result,Admin_Render_Result,Public_Security_Result,Second_Apply_Result,Readiness_State,Open_Issues,Reviewer_Notes
FH-001,What Does Financial Health Actually Mean?,Article,01,Global,GREEN,YES,draft,YES,NO,,YES,YES,1123,6 min,PASS,PASS,NO_NUMERIC_EXAMPLE_OR_NOT_APPLICABLE,NO,N/A,,NO,N/A,N/A,NONE,0,"CTA_MAPPING_REQUIRED (resource_ctas empty, accepted per spec §17)",NEEDS_AUTHOR_ASSIGNMENT (accepted per spec §18),"PASS -- live authenticated Admin editor+preview QA 2026-08-21, found+fixed a real CTA-instruction leak (see p0-change-log.csv), 15/15 responsive cells pass, no other corruption","PASS -- real HTTP 404 (npx next start production server), noindex meta, genuine app 404 body; search/sitemap/glossary/videos listings confirmed to exclude this record's type-representative sample","PASS (0 hash/updated_at/audit churn on second real apply, see second-apply-idempotency-proof.json)",READY_FOR_HUMAN_EDITORIAL_REVIEW,"None blocking -- CTA_MAPPING_REQUIRED and NEEDS_AUTHOR_ASSIGNMENT are expected editorial-readiness states, not defects","Re-certified in the R1.7C closure pass 2026-08-21; foundational data verified live against DEV, not re-derived from the prior report alone."
FH-002,7 Financial Numbers Every Household Should Know,Article,01,Global,GREEN,YES,draft,YES,NO,,YES,YES,1197,6 min,PASS,PASS,INDEPENDENTLY_RECOMPUTED_CORRECT,NO,N/A,,NO,N/A,N/A,NONE,0,"CTA_MAPPING_REQUIRED (resource_ctas empty, accepted per spec §17)",NEEDS_AUTHOR_ASSIGNMENT (accepted per spec §18),"NOT_DIRECTLY_SAMPLED -- covered by the same structural/validation checks (block-type validity, leak-pattern scan, related-content render) applied to all 84; not individually opened in the live Admin editor this pass","PASS -- real HTTP 404 (npx next start production server), noindex meta, genuine app 404 body; search/sitemap/glossary/videos listings confirmed to exclude this record's type-representative sample","PASS (0 hash/updated_at/audit churn on second real apply, see second-apply-idempotency-proof.json)",READY_FOR_HUMAN_EDITORIAL_REVIEW,"None blocking -- CTA_MAPPING_REQUIRED and NEEDS_AUTHOR_ASSIGNMENT are expected editorial-readiness states, not defects","Re-certified in the R1.7C closure pass 2026-08-21; foundational data verified live against DEV, not re-derived from the prior report alone."
FH-003,Financial Health vs Wealth: What's the Difference?,Article,01,Global,GREEN,YES,draft,YES,NO,,YES,YES,983,5 min,PASS,PASS,NO_NUMERIC_EXAMPLE_OR_NOT_APPLICABLE,NO,N/A,,NO,N/A,N/A,NONE,0,"CTA_MAPPING_REQUIRED (resource_ctas empty, accepted per spec §17)",NEEDS_AUTHOR_ASSIGNMENT (accepted per spec §18),"NOT_DIRECTLY_SAMPLED -- covered by the same structural/validation checks (block-type validity, leak-pattern scan, related-content render) applied to all 84; not individually opened in the live Admin editor this pass","PASS -- real HTTP 404 (npx next start production server), noindex meta, genuine app 404 body; search/sitemap/glossary/videos listings confirmed to exclude this record's type-representative sample","PASS (0 hash/updated_at/audit churn on second real apply, see second-apply-idempotency-proof.json)",READY_FOR_HUMAN_EDITORIAL_REVIEW,"None blocking -- CTA_MAPPING_REQUIRED and NEEDS_AUTHOR_ASSIGNMENT are expected editorial-readiness states, not defects","Re-certified in the R1.7C closure pass 2026-08-21; foundational data verified live against DEV, not re-derived from the prior report alone."
FH-004,Why a High Income Doesn't Automatically Mean Financial Security,Article,01,Global,GREEN,YES,draft,YES,NO,,YES,YES,1035,5 min,PASS,PASS,NO_NUMERIC_EXAMPLE_OR_NOT_APPLICABLE,NO,N/A,,NO,N/A,N/A,NONE,0,"CTA_MAPPING_REQUIRED (resource_ctas empty, accepted per spec §17)",NEEDS_AUTHOR_ASSIGNMENT (accepted per spec §18),"NOT_DIRECTLY_SAMPLED -- covered by the same structural/validation checks (block-type validity, leak-pattern scan, related-content render) applied to all 84; not individually opened in the live Admin editor this pass","PASS -- real HTTP 404 (npx next start production server), noindex meta, genuine app 404 body; search/sitemap/glossary/videos listings confirmed to exclude this record's type-representative sample","PASS (0 hash/updated_at/audit churn on second real apply, see second-apply-idempotency-proof.json)",READY_FOR_HUMAN_EDITORIAL_REVIEW,"None blocking -- CTA_MAPPING_REQUIRED and NEEDS_AUTHOR_ASSIGNMENT are expected editorial-readiness states, not defects","Re-certified in the R1.7C closure pass 2026-08-21; foundational data verified live against DEV, not re-derived from the prior report alone."
FH-005,How Often Should You Review Your Financial Position?,Guide,01,Global,GREEN,YES,draft,YES,NO,,YES,YES,1357,7 min,PASS,PASS,NO_NUMERIC_EXAMPLE_OR_NOT_APPLICABLE,NO,N/A,,NO,N/A,N/A,NONE,0,"CTA_MAPPING_REQUIRED (resource_ctas empty, accepted per spec §17)",NEEDS_AUTHOR_ASSIGNMENT (accepted per spec §18),"PASS -- live authenticated Admin editor+preview QA 2026-08-21, found+fixed a real CTA-instruction leak (see p0-change-log.csv), 15/15 responsive cells pass, no other corruption","PASS -- real HTTP 404 (npx next start production server), noindex meta, genuine app 404 body; search/sitemap/glossary/videos listings confirmed to exclude this record's type-representative sample","PASS (0 hash/updated_at/audit churn on second real apply, see second-apply-idempotency-proof.json)",READY_FOR_HUMAN_EDITORIAL_REVIEW,"None blocking -- CTA_MAPPING_REQUIRED and NEEDS_AUTHOR_ASSIGNMENT are expected editorial-readiness states, not defects","Re-certified in the R1.7C closure pass 2026-08-21; foundational data verified live against DEV, not re-derived from the prior report alone."
FH-006,The Four Foundations of Household Financial Health,Article,01,Global,GREEN,YES,draft,YES,NO,,YES,YES,1200,6 min,PASS,PASS,NO_NUMERIC_EXAMPLE_OR_NOT_APPLICABLE,NO,N/A,,NO,N/A,N/A,NONE,0,"CTA_MAPPING_REQUIRED (resource_ctas empty, accepted per spec §17)",NEEDS_AUTHOR_ASSIGNMENT (accepted per spec §18),"NOT_DIRECTLY_SAMPLED -- covered by the same structural/validation checks (block-type validity, leak-pattern scan, related-content render) applied to all 84; not individually opened in the live Admin editor this pass","PASS -- real HTTP 404 (npx next start production server), noindex meta, genuine app 404 body; search/sitemap/glossary/videos listings confirmed to exclude this record's type-representative sample","PASS (0 hash/updated_at/audit churn on second real apply, see second-apply-idempotency-proof.json)",READY_FOR_HUMAN_EDITORIAL_REVIEW,"None blocking -- CTA_MAPPING_REQUIRED and NEEDS_AUTHOR_ASSIGNMENT are expected editorial-readiness states, not defects","Re-certified in the R1.7C closure pass 2026-08-21; foundational data verified live against DEV, not re-derived from the prior report alone."
MM-001,Household Cash Flow Explained,Article,02,Global,GREEN,YES,draft,YES,NO,,YES,YES,1275,6 min,PASS,PASS,NO_NUMERIC_EXAMPLE_OR_NOT_APPLICABLE,NO,N/A,,NO,N/A,N/A,NONE,0,"CTA_MAPPING_REQUIRED (resource_ctas empty, accepted per spec §17)",NEEDS_AUTHOR_ASSIGNMENT (accepted per spec §18),"NOT_DIRECTLY_SAMPLED -- covered by the same structural/validation checks (block-type validity, leak-pattern scan, related-content render) applied to all 84; not individually opened in the live Admin editor this pass","PASS -- real HTTP 404 (npx next start production server), noindex meta, genuine app 404 body; search/sitemap/glossary/videos listings confirmed to exclude this record's type-representative sample","PASS (0 hash/updated_at/audit churn on second real apply, see second-apply-idempotency-proof.json)",READY_FOR_HUMAN_EDITORIAL_REVIEW,"None blocking -- CTA_MAPPING_REQUIRED and NEEDS_AUTHOR_ASSIGNMENT are expected editorial-readiness states, not defects","Re-certified in the R1.7C closure pass 2026-08-21; foundational data verified live against DEV, not re-derived from the prior report alone."
MM-002,Gross Income vs Take-Home Income,Article,02,Global,GREEN,YES,draft,YES,NO,,YES,YES,1224,6 min,PASS,PASS,NO_NUMERIC_EXAMPLE_OR_NOT_APPLICABLE,NO,N/A,,NO,N/A,N/A,NONE,0,"CTA_MAPPING_REQUIRED (resource_ctas empty, accepted per spec §17)",NEEDS_AUTHOR_ASSIGNMENT (accepted per spec §18),"NOT_DIRECTLY_SAMPLED -- covered by the same structural/validation checks (block-type validity, leak-pattern scan, related-content render) applied to all 84; not individually opened in the live Admin editor this pass","PASS -- real HTTP 404 (npx next start production server), noindex meta, genuine app 404 body; search/sitemap/glossary/videos listings confirmed to exclude this record's type-representative sample","PASS (0 hash/updated_at/audit churn on second real apply, see second-apply-idempotency-proof.json)",READY_FOR_HUMAN_EDITORIAL_REVIEW,"None blocking -- CTA_MAPPING_REQUIRED and NEEDS_AUTHOR_ASSIGNMENT are expected editorial-readiness states, not defects","Re-certified in the R1.7C closure pass 2026-08-21; foundational data verified live against DEV, not re-derived from the prior report alone."
MM-003,"Fixed, Variable, Essential and Discretionary Expenses",Article,02,Global,GREEN,YES,draft,YES,NO,,YES,YES,1267,6 min,PASS,PASS,NO_NUMERIC_EXAMPLE_OR_NOT_APPLICABLE,NO,N/A,,NO,N/A,N/A,CERTIFIED,1,"CTA_MAPPING_REQUIRED (resource_ctas empty, accepted per spec §17)",NEEDS_AUTHOR_ASSIGNMENT (accepted per spec §18),"NOT_DIRECTLY_SAMPLED -- covered by the same structural/validation checks (block-type validity, leak-pattern scan, related-content render) applied to all 84; not individually opened in the live Admin editor this pass","PASS -- real HTTP 404 (npx next start production server), noindex meta, genuine app 404 body; search/sitemap/glossary/videos listings confirmed to exclude this record's type-representative sample","PASS (0 hash/updated_at/audit churn on second real apply, see second-apply-idempotency-proof.json)",READY_FOR_HUMAN_EDITORIAL_REVIEW,"None blocking -- CTA_MAPPING_REQUIRED and NEEDS_AUTHOR_ASSIGNMENT are expected editorial-readiness states, not defects","Re-certified in the R1.7C closure pass 2026-08-21; foundational data verified live against DEV, not re-derived from the prior report alone."
MM-004,How to Calculate and Improve Your Savings Rate,Guide,02,Global,GREEN,YES,draft,YES,NO,,YES,YES,1862,9 min,PASS,PASS,INDEPENDENTLY_RECOMPUTED_CORRECT,NO,N/A,,NO,N/A,N/A,CERTIFIED,1,"CTA_MAPPING_REQUIRED (resource_ctas empty, accepted per spec §17)",NEEDS_AUTHOR_ASSIGNMENT (accepted per spec §18),"NOT_DIRECTLY_SAMPLED -- covered by the same structural/validation checks (block-type validity, leak-pattern scan, related-content render) applied to all 84; not individually opened in the live Admin editor this pass","PASS -- real HTTP 404 (npx next start production server), noindex meta, genuine app 404 body; search/sitemap/glossary/videos listings confirmed to exclude this record's type-representative sample","PASS (0 hash/updated_at/audit churn on second real apply, see second-apply-idempotency-proof.json)",READY_FOR_HUMAN_EDITORIAL_REVIEW,"None blocking -- CTA_MAPPING_REQUIRED and NEEDS_AUTHOR_ASSIGNMENT are expected editorial-readiness states, not defects","Re-certified in the R1.7C closure pass 2026-08-21; foundational data verified live against DEV, not re-derived from the prior report alone."
