Content_ID,Claim,Authority,Refresh_Result,Refreshed_At,Notes
RAU-001,Superannuation Guarantee = 12%,ATO,VERIFIED_CURRENT,2026-08-21,"Direct WebSearch of ato.gov.au-derived results confirms 12% (from 1 Jul 2025), no further legislated increase"
RAU-002,Super Guarantee 12% / Payday Super from 1 Jul 2026,ATO,VERIFIED_CURRENT,2026-08-21,"Same as RAU-001, refreshed"
RAU-003,Age Pension age 67 / preservation age 60,Services Australia / Moneysmart,SEARCH_AGGREGATED_ONLY,2026-08-21,Direct fetch to servicesaustralia.gov.au genuinely attempted this pass (timeout) -- BLOCK_PENDING_OFFICIAL_SOURCE for direct verification
RIN-001,"EPF 12%/12% split, 8.33% EPS diversion, Rs 15,000 ceiling",EPFO,SEARCH_AGGREGATED_ONLY,2026-08-21,Direct fetch to epfindia.gov.in genuinely attempted this pass (ECONNREFUSED) -- BLOCK_PENDING_OFFICIAL_SOURCE for direct verification
RIN-002,PPF 7.1% current rate,India Post / Dept of Economic Affairs,SEARCH_AGGREGATED_ONLY,2026-08-21,Direct fetch to indiapost.gov.in genuinely attempted this pass (404 on path tried) -- BLOCK_PENDING_OFFICIAL_SOURCE for direct verification
RIN-003,"NPS Tier I/Tier II, exit/annuitisation rules; 2026 PFRDA amendment",PFRDA,PFRDA_2026_GATE_REVIEWED,2026-08-21,"Direct WebFetch to pfrda.org.in succeeded. Confirmed the July 2026 'Exits and Withdrawals Amendment Regulations 2026' (gazetted 14 Jul 2026) is about PENSION-FUND OPERATIONAL OUTSOURCING/LIABILITY, not subscriber eligibility or withdrawal percentages. Separately found via WebSearch: a real December 2025 PFRDA change raised the non-government normal-exit lump-sum limit from 60% to 80% (minimum annuity purchase reduced from 40% to 20%; government employees remain 60/40), and removed the 5-year minimum lock-in for premature exit. Verified the RIN-003 draft makes NO specific lump-sum/annuity percentage claim anywhere (its own text explicitly avoids hard-coding 'a simplified X% must always be annuitised statement as if it were timeless') -- so this real rule change does NOT create a factual error in the draft as currently written. Compliance reviewer should be briefed on the real Dec-2025/Jul-2026 changes when deciding whether the draft should proactively state current percentages or keep its current abstracted approach."
IP-001,N/A,N/A,NOT_APPLICABLE,2026-08-21,No date-sensitive claim in draft
IP-002,N/A,N/A,NOT_APPLICABLE,2026-08-21,No date-sensitive claim in draft
CB-001,N/A (illustrative FX only),N/A,NOT_APPLICABLE,2026-08-21,"FX rate explicitly labelled illustrative throughout, never presented as live"
CB-002,N/A (illustrative FX only),N/A,NOT_APPLICABLE,2026-08-21,Same as CB-001
