content_id(s),block_type,matched_patterns,snippet_summary,classification,recommendation
EX-001,heading,before publication,Heading literally reads 'Product-governance requirement before publication',INTERNAL_EDITORIAL_INSTRUCTION,"Remove this heading and its following paragraph from public body content, OR move to a genuinely internal metadata field if the CMS has one; must not remain as rendered body content once published"
EX-001,paragraph,"editorial review, before publication, reviewer, the editorial reviewer must","'Before publication, the editorial reviewer must compare this wording with the current production aggregation...'",INTERNAL_EDITORIAL_INSTRUCTION,Same as above -- pairs with the heading; remove/relocate before publication
EX-001,key_takeaways,before publication,5th key takeaway item: 'This explainer is product-dependent: it must be checked against current production code...immediately before publication.',INTERNAL_EDITORIAL_INSTRUCTION,Remove this item from the reader-facing Key Takeaways list specifically -- a reviewer instruction does not belong in a list readers are meant to learn from; the other 4 takeaways are genuine reader content and should stay
EX-001,paragraph,production methodology,'Only records that the production methodology considers active and included should contribute...',PUBLIC_READER_CONTENT,Describes system behaviour to the reader in third person; not an instruction to a human actor; no change needed
"EX-001, EX-002..EX-012, EX-025, EX-026 (all 14 FHIP Explainers)",warning/disclaimer,before publication,"Disclaimer's final sentence: '...current production calculation code, data dictionary and active calculation-version record are authoritative and must be reconciled immediately before publication.'",AMBIGUOUS,"Systemic across all 14 FHIP Explainers. The phrase 'before publication' is self-contradicting once the page IS published (a live reader would see 'must be reconciled before publication' on already-published content). Recommend rewording for the published state, e.g. 'is periodically reconciled with the current production calculation' -- Product Owner decision needed on exact wording; do not silently reword"
"EX-002, EX-003, EX-005, EX-006, EX-007",bulleted_list (Sources),"before publication, production methodology","Sources sections cite internal FHIP engineering/QA artifacts (e.g. 'FHIP 50-user Expected_Current_Metrics and accuracy reconciliation', 'FHIP Forecasting Engine requirement FHIP-FC-NW-001', 'FHIP live Score/Dashboard audit evidence', 'FHIP Benchmark/Twin metric catalogue') presented identically alongside genuine external sources (ASIC Moneysmart, BIS, CFPB)",AMBIGUOUS -- systemic finding,A public reader cannot access an internal test dataset or requirement ID as a 'source'. Recommend splitting each Sources list into reader-facing external references vs an internal-only verification checklist before publication. Not silently corrected -- needs Product Owner editorial-policy decision since it affects all FHIP Explainers uniformly
EX-025,paragraph,before publication,'...this Resource must be checked against the active Free Report template immediately before publication.',INTERNAL_EDITORIAL_INSTRUCTION,Reviewer instruction embedded in body paragraph; remove or relocate before publication
EX-025,bulleted_list (Sources),before publication,Cites 'FHIP Free and Paid Report Enhancement Proposal' as a source alongside the real production renderer,AMBIGUOUS,Citing an internal enhancement PROPOSAL as a source is a signal worth checking against section W/X (methodology/EX-026-style currency check) -- see report section X for the parallel EX-026 finding
EX-026,bulleted_list (Sources),before publication,"Cites 'FHIP Premium Report V3 Advisor-Style Redesign and Storytelling Library Proposal' and 'FHIP UX Redesign Master Plan' as sources -- both are PROPOSAL/design documents, not implemented-and-shipped references",INTERNAL_EDITORIAL_INSTRUCTION + SUBSTANTIVE FLAG,"This is the strongest signal that EX-026 may describe proposed-but-not-yet-implemented Premium Report functionality rather than the current shipped state -- directly triggers spec's EX-026 special rule (see report section X). Requires explicit methodology-currency verification before any approval, not just a text edit"
RIN-003,key_takeaways,before publication,"5th key takeaway: 'Current eligibility, withdrawal and exit rules have changed over time and must be verified before publication or action.'",INTERNAL_EDITORIAL_INSTRUCTION,"Remove this item from reader-facing Key Takeaways; the underlying caution (rules can change) is legitimate reader content and could be kept in reworded, reader-appropriate form (e.g. 'Eligibility and exit rules can change -- check current PFRDA guidance'), but not as a publication-workflow instruction"
RIN-003,paragraph,before publication,"'These eligibility details are current-rule statements, not permanent facts. They should be checked again before publication because NPS regulations...can be amended.'",AMBIGUOUS,The underlying caution is legitimate and reader-relevant; 'before publication' phrasing needs rewording for a published state (e.g. 'should be checked against current PFRDA guidance')
RIN-003,paragraph,"compliance review, before publication, reviewer, compliance reviewer should, should not hard-code","'...this beginner Resource should not hard-code a simplified statement...Before publication, the compliance reviewer should verify the latest PFRDA exit table...'",INTERNAL_EDITORIAL_INSTRUCTION,Directly addresses 'the compliance reviewer' -- remove/relocate before publication. This is the exact passage that also matters for the RIN-003 PFRDA 2026 gate (report section R)
"RIN-003, RAU-003, RIN-001",bulleted_list (Sources),before publication,"Individual source citations have a reviewer instruction appended, e.g. 'Services Australia - current Age Pension eligibility...rules to be checked immediately before publication.' / 'Income Tax Department - current tax treatment...to be checked separately before publication.'",AMBIGUOUS,"The citation itself (source name) is legitimate reader-relevant content; the appended 'to be checked...before publication' clause is reviewer-facing and should be trimmed, keeping the citation"
RAU-001,heading,before publication,Heading literally reads 'Current-rule snapshot - verify again before publication',INTERNAL_EDITORIAL_INSTRUCTION,Reword to a reader-appropriate heading (e.g. 'Current-rule snapshot') and move the verification instruction out of body content
EX-008,paragraph,product owner,'Only if the Product Owner chooses to and the values are verified against the current production score engine and active methodology version.',INTERNAL_EDITORIAL_INSTRUCTION,Directly names 'the Product Owner' as an actor; remove/relocate before publication
EX-003,paragraph,production methodology,'Very small denominators can create unstable percentages. The production methodology should define any near-zero handling rule...this article must not invent one.',PUBLIC_READER_CONTENT,"Describes system behaviour transparently to the reader; legitimate methodology-transparency language, not an instruction to a human actor"
EX-003,paragraph,production methodology,'The answer must follow the active production methodology. The current-state rate...is based on monthly surplus divided by net income.',PUBLIC_READER_CONTENT,"Same -- transparent methodology description, no change needed"
EX-004,paragraph,production methodology,"'The production methodology should return a safe governed result, normally Not Available or an explicitly defined special case, rather than divide by zero.'",PUBLIC_READER_CONTENT,"Transparent methodology description, no change needed"
EX-007,paragraph,production methodology,"'FHIP Financial Resilience is a governed composite assessment...Exact weights and thresholds must come from the current production methodology, not from this article.'",PUBLIC_READER_CONTENT,Legitimate transparency statement correctly avoiding disclosure of proprietary weights; no change needed
VID-001..VID-008 (all 8 videos),callout,cms,"'Script and transcript draft complete. YouTube is the source of truth. Do not create a fake YouTube ID, URL, duration, thumbnail, view count or publication date. Publish on @GKTC first, then add the real metadata to the FHIP CMS record.'",INTERNAL_EDITORIAL_INSTRUCTION (by design),"This exact text was deliberately added by the R1.7C loader as a safe non-fabrication staging marker (no better CMS field existed for this purpose at R1.7C). Self-limiting in practice since these Resources can never go public without real YouTube data regardless of this text's presence. Flagged explicitly per spec's 'every match must be reviewed' requirement; Product Owner should decide whether to keep as-is, reword to be less CMS-instruction-flavoured, or relocate once/if a dedicated internal-notes field is added to the schema"
DN-001,bulleted_list (Sources),editorial review,"'Peer-reviewed behavioural-finance literature on present bias, inertia, loss aversion and decision heuristics, to be selected and cited during editorial review.'",INTERNAL_EDITORIAL_INSTRUCTION + INCOMPLETE_CITATION,This is not a real citation -- it says citations are still TBD ('to be selected during editorial review'). This is both a leaked instruction and a genuine incomplete-sourcing gap; the actual peer-reviewed references need to be selected and this placeholder text replaced before the Sources section is publication-ready
