Content_ID,Draft_CTA_Label,Primary_Module,Suggested_Internal_Destination,Existing_CTA,Human_Approved,Status
FH-001,CTA: Check My Financial Health.,,TBD -- Product Owner to confirm real route,NONE (resource_ctas has 0 rows),NOT_REVIEWED,CTA_MAPPING_REQUIRED
FH-002,CTA: Check My Financial Health.,,TBD -- Product Owner to confirm real route,NONE (resource_ctas has 0 rows),NOT_REVIEWED,CTA_MAPPING_REQUIRED
FH-006,CTA: Check My Financial Health.,,TBD -- Product Owner to confirm real route,NONE (resource_ctas has 0 rows),NOT_REVIEWED,CTA_MAPPING_REQUIRED
MM-001,CTA: Review My Cash Flow.,,TBD -- Product Owner to confirm real route,NONE (resource_ctas has 0 rows),NOT_REVIEWED,CTA_MAPPING_REQUIRED
MM-004,CTA: Review My Cash Flow.,,TBD -- Product Owner to confirm real route,NONE (resource_ctas has 0 rows),NOT_REVIEWED,CTA_MAPPING_REQUIRED
ER-001,CTA: Check My Financial Resilience.,,TBD -- Product Owner to confirm real route,NONE (resource_ctas has 0 rows),NOT_REVIEWED,CTA_MAPPING_REQUIRED
MM-002,CTA: Review My Cash Flow.,,TBD -- Product Owner to confirm real route,NONE (resource_ctas has 0 rows),NOT_REVIEWED,CTA_MAPPING_REQUIRED
ER-002,CTA: Check My Financial Resilience.,,TBD -- Product Owner to confirm real route,NONE (resource_ctas has 0 rows),NOT_REVIEWED,CTA_MAPPING_REQUIRED
NW-003,CTA: See My Net Worth.,,TBD -- Product Owner to confirm real route,NONE (resource_ctas has 0 rows),NOT_REVIEWED,CTA_MAPPING_REQUIRED
IP-002,CTA: Review My Protection,,TBD -- Product Owner to confirm real route,NONE (resource_ctas has 0 rows),NOT_REVIEWED,CTA_MAPPING_REQUIRED
EX-001,CTA: See My Net Worth,,TBD -- Product Owner to confirm real route,NONE (resource_ctas has 0 rows),NOT_REVIEWED,CTA_MAPPING_REQUIRED
GLO-008,,,TBD -- Product Owner to confirm real route,NONE (resource_ctas has 0 rows),NOT_REVIEWED,CTA_MAPPING_REQUIRED
ER-003,CTA: Check My Financial Resilience.,,TBD -- Product Owner to confirm real route,NONE (resource_ctas has 0 rows),NOT_REVIEWED,CTA_MAPPING_REQUIRED
NW-001,CTA: See My Net Worth.,,TBD -- Product Owner to confirm real route,NONE (resource_ctas has 0 rows),NOT_REVIEWED,CTA_MAPPING_REQUIRED
DB-001,CTA: Review My Debt Position.,,TBD -- Product Owner to confirm real route,NONE (resource_ctas has 0 rows),NOT_REVIEWED,CTA_MAPPING_REQUIRED
ER-004,CTA: Check My Financial Resilience.,,TBD -- Product Owner to confirm real route,NONE (resource_ctas has 0 rows),NOT_REVIEWED,CTA_MAPPING_REQUIRED
DB-002,CTA: Review My Debt Position.,,TBD -- Product Owner to confirm real route,NONE (resource_ctas has 0 rows),NOT_REVIEWED,CTA_MAPPING_REQUIRED
GLO-009,,,TBD -- Product Owner to confirm real route,NONE (resource_ctas has 0 rows),NOT_REVIEWED,CTA_MAPPING_REQUIRED
GLO-012,,,TBD -- Product Owner to confirm real route,NONE (resource_ctas has 0 rows),NOT_REVIEWED,CTA_MAPPING_REQUIRED
GLO-014,,,TBD -- Product Owner to confirm real route,NONE (resource_ctas has 0 rows),NOT_REVIEWED,CTA_MAPPING_REQUIRED
DB-003,CTA: Review My Debt Position.,,TBD -- Product Owner to confirm real route,NONE (resource_ctas has 0 rows),NOT_REVIEWED,CTA_MAPPING_REQUIRED
GL-003,CTA: Review My Goals.,,TBD -- Product Owner to confirm real route,NONE (resource_ctas has 0 rows),NOT_REVIEWED,CTA_MAPPING_REQUIRED
GL-002,CTA: Review My Goals.,,TBD -- Product Owner to confirm real route,NONE (resource_ctas has 0 rows),NOT_REVIEWED,CTA_MAPPING_REQUIRED
GLO-001,,,TBD -- Product Owner to confirm real route,NONE (resource_ctas has 0 rows),NOT_REVIEWED,CTA_MAPPING_REQUIRED
IN-002,CTA: Review My Investments.,,TBD -- Product Owner to confirm real route,NONE (resource_ctas has 0 rows),NOT_REVIEWED,CTA_MAPPING_REQUIRED
IN-004,CTA: Review My Investments.,,TBD -- Product Owner to confirm real route,NONE (resource_ctas has 0 rows),NOT_REVIEWED,CTA_MAPPING_REQUIRED
MM-003,CTA: Review My Cash Flow.,,TBD -- Product Owner to confirm real route,NONE (resource_ctas has 0 rows),NOT_REVIEWED,CTA_MAPPING_REQUIRED
DB-004,CTA: Review My Debt Position.,,TBD -- Product Owner to confirm real route,NONE (resource_ctas has 0 rows),NOT_REVIEWED,CTA_MAPPING_REQUIRED
RAU-003,CTA: Check My Retirement Readiness,,TBD -- Product Owner to confirm real route,NONE (resource_ctas has 0 rows),NOT_REVIEWED,CTA_MAPPING_REQUIRED
