Requirement ID,Canonical Area,Canonical Task (operator language),Governance domain (FDH-13 origin),Requirement,Proposed capability,"Canonical role (interim, per REG-16 pending)",Segregation requirement,Audit requirement,Data sensitivity / Privacy classification,Implementation stage (Status),Future Admin wave,Certification evidence,Blocks FDH-13 closure,Product Owner decision
FDH13-MD-001,Data Governance,VIEW institutions/merchants/categories/MCC/parser master data,Master-data governance,Admin can VIEW institutions/merchants/categories/MCC/parser master data,canViewFdhMasterData,Super Admin (interim); candidate: Data Governance Contributor,None required for read-only view,Read access logged (who viewed which master-data set),internal,MISSING,Wave B,Route-level capability test + negative-control test for non-capability caller,No,None -- design is a direct extension of the existing canViewResourceDashboard pattern
FDH13-MD-002,Data Governance,PROPOSE a new or changed master-data record,Master-data governance,Admin/steward can PROPOSE a new or changed master-data record,canProposeFdhMasterData,Super Admin (interim); candidate: Data Governance Contributor,Proposer must not equal approver for the same change (see MD-012),Proposal creation audited (actor + payload before-state),internal,PARTIAL,Wave B,Unit tests already exist for the schemas (tests/unit/fdh2SchemaContract.test.ts) -- need route + RLS + audit tests added,No,None
FDH13-MD-003,Data Governance,REVIEW a proposed master-data change,Master-data governance,Admin/steward can REVIEW a proposed master-data change,canReviewFdhMasterData,Super Admin (interim); candidate: Data Governance Contributor,Reviewer should be distinct from proposer where segregation is mandated (Wave B PO decision),Review action audited (who moved status to admin_review and when),internal,PARTIAL,Wave B,Negative-control test: a caller without canReviewFdhMasterData cannot transition status via RPC or direct table write,No,None
FDH13-MD-004,Data Governance,APPROVE a proposed master-data change (promote to canonical),Master-data governance,Admin/steward can APPROVE a proposed master-data change (promote to canonical),canApproveFdhMasterData,Super Admin (interim); candidate: Data Governance Approver,"Same person may hold canProposeFdhMasterData and canApproveFdhMasterData, but must not exercise both on the same proposal -- DB-transaction-level per-record check required, not a role-exclusivity rule (RESOLVED, REG-01)","Approval recorded with actor, reason, before/after status",internal,MISSING,Wave B,Positive + negative RPC tests; segregation-of-duties test (proposer cannot also approve),Yes,"REG-01 -- RESOLVED by binding PO ruling (2026-08-31 correction): same person may hold both propose and approve capabilities, but may not approve/activate/merge/retire/roll back a proposal they personally created; enforced per-record inside the authoritative DB transaction (proposer_id != approver_id check in the RPC), not merely in navigation or API code -- see Decision Register REG-01"
FDH13-MD-005,Data Governance,ACTIVATE a master-data version (set effective_from / active=true),Master-data governance,Admin can ACTIVATE a master-data version (set effective_from / active=true),canApproveFdhMasterData (activation folded into approval),Super Admin (interim); candidate: Data Governance Approver,Same as MD-004,Audited as part of MD-004's approval event,internal,PARTIAL,Wave B,Schema-contract test already covers column presence (tests/unit/fdh2SchemaContract.test.ts); needs route-level test,No,None
FDH13-MD-006,Data Governance,RETIRE/deprecate a master-data record,Master-data governance,Admin can RETIRE/deprecate a master-data record,canApproveFdhMasterData,Super Admin (interim); candidate: Data Governance Approver,Same segregation question as MD-004 if retirement is treated as a governance action distinct from approval,Retirement audited (before/after active + deprecated_at + replacement pointer),internal,PARTIAL,Wave B,Unit test for the superRefine rules already exists; needs live route + RLS test,No,None
FDH13-MD-007,Data Governance,ROLL BACK an approved master-data change,Master-data governance,Admin can ROLL BACK an approved master-data change,canApproveFdhMasterData (rollback modelled as a new approval reversing the prior one -- see REG-02),Super Admin (interim); candidate: Data Governance Approver,Same as MD-004,Rollback audited with explicit rollback_of_event_id linkage,internal,MISSING,Wave B,New tests required once design decided,Yes,REG-02 (rollback vs. forward-only supersession model) -- see Decision Register
FDH13-MD-008,Data Governance,Master data retains VERSION HISTORY (not just a current row),Master-data governance,Master data retains VERSION HISTORY (not just a current row),canViewFdhMasterData (view history) / canApproveFdhMasterData (write a new version),Super Admin (interim); candidate: Data Governance Approver,None additional beyond MD-004,Every version transition audited,internal,PARTIAL,Wave B,Needs a decision on whether to add a fdh_master_data_history table or rely on the audit trail as the only history record (REG-03),No,REG-03 (dedicated history table vs. audit-trail-as-history) -- see Decision Register
FDH13-MD-009,Data Governance,Every master-data fact has recorded PROVENANCE,Master-data governance,Every master-data fact has recorded PROVENANCE,canViewFdhMasterData,Super Admin (interim); candidate: Data Governance Contributor,None,Not applicable (provenance IS the audit-relevant data; no separate event needed for read),internal,PARTIAL,Wave B,docs/financial-data-hub/FDH2_RESEARCH_EVIDENCE.md already documents the sourcing discipline,No,None
FDH13-MD-010,Data Governance,EXPORT master-data governance data (CSV),Master-data governance,Admin can EXPORT master-data governance data (CSV),canExportFdhGovernanceData,Super Admin (interim); candidate: Data Governance Approver (pending REG-04),Export capability should be granted more narrowly than view/approve (fewer roles) -- PO to confirm eligible roles (REG-04),Every export logged (who/what/when) per Standard section 11,internal,MISSING,Wave B/G,Negative test: unauthorised caller cannot generate or download,No,REG-04 (which roles receive canExportFdhGovernanceData) -- see Decision Register
FDH13-MD-011,Data Governance,Every master-data ADMIN MUTATION is audited with an admin actor,Master-data governance,Every master-data ADMIN MUTATION is audited with an admin actor,"(enforced automatically by every write capability above, not a capability itself)","N/A - cross-cutting control, not a standing role grant",N/A,This row IS the audit requirement for MD-002 through MD-007,internal,MISSING,Wave A/B,Schema-contract test asserting the widened actor_type/event_type enum,Yes,"REG-05 -- RESOLVED by binding PO ruling: use a shared, cross-domain canonical Admin audit sink (e.g. admin_audit_events, domain='fdh') rather than a new FDH-only audit table; fdh_document_audit_events remains document-scoped and is not widened -- see Decision Register"
FDH13-MD-012,Data Governance,Propose and approve the SAME master-data change must not be performable by the same per...,Master-data governance,Propose and approve the SAME master-data change must not be performable by the same person where segregation is required,(cross-cutting constraint on canProposeFdhMasterData + canApproveFdhMasterData),"N/A - cross-cutting control, not a standing role grant","Required: a caller holding canProposeFdhMasterData for a specific proposal cannot also hold canApproveFdhMasterData for that same proposal, unless PO explicitly permits self-approval for a defined low-risk change class",Segregation violations are themselves an auditable/alertable event,internal,MISSING,Wave B,Negative test: same-actor propose+approve attempt is rejected,Yes,REG-01 -- RESOLVED (see MD-004); this row shares the same binding per-record segregation rule
FDH13-IC-001,Data Governance,A CANDIDATE table exists for new merchants / aliases / institutions / classification ru...,Intelligence-candidate governance,A CANDIDATE table exists for new merchants / aliases / institutions / classification rules with confidence and evidence,canViewFdhMasterData (candidate queue is part of the same view),Super Admin (interim); candidate: Data Governance Contributor,None,Not applicable to schema existence itself,internal,IMPLEMENTED,Wave B,tests/unit/fdh2Domain.test.ts already covers 8 state-machine rules,No,None
