Content_ID,Title,Content_Type,Category,Jurisdiction,Risk_Class,Batch,Current_CMS_Status,Editorial_PreCertification,Math_Certification,Methodology_Certification,Source_Verification_Status,Human_Editorial_Decision,Human_Editorial_Reviewer,Human_Editorial_Decision_At,Editorial_Notes,Human_Compliance_Required,Human_Compliance_Decision,Human_Compliance_Reviewer,Human_Compliance_Decision_At,Compliance_Notes,Author_Status,CTA_Status,Video_Status,Final_R1_7D_Status,Blocking_Issues,NonBlocking_Issues
FH-001,What Does Financial Health Actually Mean?,article,,global,GREEN,01,draft,PASS (R1.7C structural+pattern-scan; full manual read),NO_NUMERIC_EXAMPLE_OR_NOT_RECOMPUTED,N/A,N/A,NOT_REVIEWED,,,,NO,NOT_REQUIRED,,,,NEEDS_AUTHOR_ASSIGNMENT,CTA_MAPPING_REQUIRED,N/A,STAGE_A_ONLY -- awaiting Product Owner decision,None,CTA_MAPPING_REQUIRED (resource_ctas empty); NEEDS_AUTHOR_ASSIGNMENT (author_id null)
FH-002,7 Financial Numbers Every Household Should Know,article,,global,GREEN,01,draft,PASS (R1.7C structural+pattern-scan; sample-checked),INDEPENDENTLY_RECOMPUTED_CORRECT,N/A,N/A,NOT_REVIEWED,,,,NO,NOT_REQUIRED,,,,NEEDS_AUTHOR_ASSIGNMENT,CTA_MAPPING_REQUIRED,N/A,STAGE_A_ONLY -- awaiting Product Owner decision,None,CTA_MAPPING_REQUIRED (resource_ctas empty); NEEDS_AUTHOR_ASSIGNMENT (author_id null)
FH-006,The Four Foundations of Household Financial Health,article,,global,GREEN,01,draft,PASS (R1.7C structural+pattern-scan; sample-checked),NO_NUMERIC_EXAMPLE_OR_NOT_RECOMPUTED,N/A,N/A,NOT_REVIEWED,,,,NO,NOT_REQUIRED,,,,NEEDS_AUTHOR_ASSIGNMENT,CTA_MAPPING_REQUIRED,N/A,STAGE_A_ONLY -- awaiting Product Owner decision,None,CTA_MAPPING_REQUIRED (resource_ctas empty); NEEDS_AUTHOR_ASSIGNMENT (author_id null)
MM-001,Household Cash Flow Explained,article,,global,GREEN,02,draft,PASS (R1.7C structural+pattern-scan; sample-checked),NO_NUMERIC_EXAMPLE_OR_NOT_RECOMPUTED,N/A,N/A,NOT_REVIEWED,,,,NO,NOT_REQUIRED,,,,NEEDS_AUTHOR_ASSIGNMENT,CTA_MAPPING_REQUIRED,N/A,STAGE_A_ONLY -- awaiting Product Owner decision,None,CTA_MAPPING_REQUIRED (resource_ctas empty); NEEDS_AUTHOR_ASSIGNMENT (author_id null)
MM-004,How to Calculate and Improve Your Savings Rate,guide,,global,GREEN,02,draft,PASS (R1.7C structural+pattern-scan; sample-checked),INDEPENDENTLY_RECOMPUTED_CORRECT,N/A,N/A,NOT_REVIEWED,,,,NO,NOT_REQUIRED,,,,NEEDS_AUTHOR_ASSIGNMENT,CTA_MAPPING_REQUIRED,N/A,STAGE_A_ONLY -- awaiting Product Owner decision,None,CTA_MAPPING_REQUIRED (resource_ctas empty); NEEDS_AUTHOR_ASSIGNMENT (author_id null)
ER-001,What Is an Emergency Fund?,article,,global,GREEN,02,draft,PASS (R1.7C structural+pattern-scan; sample-checked),NO_NUMERIC_EXAMPLE_OR_NOT_RECOMPUTED,N/A,N/A,NOT_REVIEWED,,,,NO,NOT_REQUIRED,,,,NEEDS_AUTHOR_ASSIGNMENT,CTA_MAPPING_REQUIRED,N/A,STAGE_A_ONLY -- awaiting Product Owner decision,None,CTA_MAPPING_REQUIRED (resource_ctas empty); NEEDS_AUTHOR_ASSIGNMENT (author_id null)
MM-002,Gross Income vs Take-Home Income,article,,global,GREEN,02,draft,PASS (R1.7C structural+pattern-scan; sample-checked),NO_NUMERIC_EXAMPLE_OR_NOT_RECOMPUTED,N/A,N/A,NOT_REVIEWED,,,,NO,NOT_REQUIRED,,,,NEEDS_AUTHOR_ASSIGNMENT,CTA_MAPPING_REQUIRED,N/A,STAGE_A_ONLY -- awaiting Product Owner decision,None,CTA_MAPPING_REQUIRED (resource_ctas empty); NEEDS_AUTHOR_ASSIGNMENT (author_id null)
ER-002,How Many Months of Expenses Should You Keep?,article,,global,GREEN,02,draft,PASS (R1.7C structural+pattern-scan; sample-checked),NO_NUMERIC_EXAMPLE_OR_NOT_RECOMPUTED,N/A,N/A,NOT_REVIEWED,,,,NO,NOT_REQUIRED,,,,NEEDS_AUTHOR_ASSIGNMENT,CTA_MAPPING_REQUIRED,N/A,STAGE_A_ONLY -- awaiting Product Owner decision,None,CTA_MAPPING_REQUIRED (resource_ctas empty); NEEDS_AUTHOR_ASSIGNMENT (author_id null)
NW-003,Why Net Worth Can Matter More Than Salary,article,,global,GREEN,04,draft,PASS (R1.7C structural+pattern-scan; sample-checked),NO_NUMERIC_EXAMPLE_OR_NOT_RECOMPUTED,N/A,N/A,NOT_REVIEWED,,,,NO,NOT_REQUIRED,,,,NEEDS_AUTHOR_ASSIGNMENT,CTA_MAPPING_REQUIRED,N/A,STAGE_A_ONLY -- awaiting Product Owner decision,None,CTA_MAPPING_REQUIRED (resource_ctas empty); NEEDS_AUTHOR_ASSIGNMENT (author_id null)
IP-002,Life Insurance Explained in Plain English,article,,global,AMBER,07,draft,PASS (R1.7C structural+pattern-scan; sample-checked),INDEPENDENTLY_RECOMPUTED_CORRECT,N/A,NOT_APPLICABLE -- no date-sensitive claim in draft,NOT_REVIEWED,,,,YES,NOT_REVIEWED,,,,NEEDS_AUTHOR_ASSIGNMENT,CTA_MAPPING_REQUIRED,N/A,STAGE_A_ONLY -- awaiting Product Owner decision,None,CTA_MAPPING_REQUIRED (resource_ctas empty); NEEDS_AUTHOR_ASSIGNMENT (author_id null)
